GeneID	Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000218891	13.70863,16.33300,12.27853,15.77094,14.51048,12.35660,19.30122,8.40235,10.33816,8.01424,54.91060,63.59190,13.42560,11.30524,9.05191,12.48100,8.62341,6.99780,10.56333,8.86139,16.14705,22.35755,12.20629,12.71697,17.39172,18.52409,12.09809,18.58013,8.50497,18.32355,32.27800,10.70752,7.72522,14.88942,7.66079,18.47965,11.75919,20.73547,16.27023,22.47087,9.73440,22.15456,21.11735,9.80841,10.29767,13.24453,13.86569,21.50610,8.25403,33.11790,26.75666,11.47308,1.30976
ENSG00000047315	33.13860,26.02716,32.72287,33.00486,32.66797,36.33345,40.11260,11.93798,15.87771,14.33529,52.81625,43.74147,19.10812,21.44828,14.36473,16.08248,14.72550,11.54649,14.78898,13.03837,30.42513,50.23160,57.40981,36.59271,40.22422,32.92066,28.49470,35.03659,27.16819,36.74390,41.93483,21.22070,18.73963,15.61923,11.33489,33.14610,30.00144,30.21969,32.91152,32.36648,14.78416,32.19237,29.00828,29.78906,32.59790,33.83175,37.54345,23.65931,42.36345,36.09676,41.05335,31.69597,6.03947
ENSG00000138442	3.56458,3.54300,4.79808,3.01089,3.38462,2.63837,4.10640,2.14138,2.77015,3.01387,5.14340,4.75652,2.90123,3.82710,2.39652,3.10478,3.32123,2.24373,2.76270,2.64638,3.72864,8.38951,8.47179,4.54099,4.84453,3.09860,3.43096,2.96874,4.15694,2.89407,5.62492,2.81472,2.12309,2.47469,2.15601,3.46539,3.42873,3.11044,4.59745,4.31610,1.65281,4.32673,3.38910,3.76412,3.66396,3.36444,3.30769,2.58166,5.83332,4.14845,4.66597,4.05582,0.54014
ENSG00000117133	26.78110,23.93471,19.48901,28.67463,26.89730,29.78917,28.54298,11.19837,12.52943,18.83335,17.44565,16.75763,14.14256,15.41546,10.77050,14.04868,24.83178,13.54254,14.55934,12.06027,27.10031,31.68263,32.40885,30.02555,29.81656,28.58625,23.65457,27.40845,23.63273,27.84433,31.45740,16.50240,15.18966,16.18347,11.45043,25.96571,21.34478,19.78194,29.09398,23.55209,9.55165,26.58468,25.77209,26.03898,24.88247,22.74602,27.04873,17.19260,38.14679,30.10751,33.31575,27.43156,5.36634
ENSG00000074071	46.46350,44.80224,92.74568,50.87971,49.19718,41.39995,60.84431,31.90565,42.13306,37.77060,82.68643,83.84210,51.53523,51.79724,34.98220,39.58730,43.19273,33.77394,38.88940,35.17763,50.04532,81.48552,85.54568,53.95578,59.69810,53.88887,61.02262,45.26228,69.08019,46.09515,62.14485,31.39825,35.10795,44.97954,40.93481,48.04172,55.83077,42.52905,52.59395,42.97711,40.98318,65.18188,65.13700,71.74060,72.43067,55.08037,75.54390,47.05520,41.16964,55.52068,53.93020,53.29888,13.28331
ENSG00000108312	44.58307,39.33832,39.12725,58.16148,52.07194,60.32686,66.19719,25.10925,27.16890,27.81463,86.37205,89.77563,35.93883,35.25643,27.18736,29.11797,29.15788,23.21786,29.90320,27.43521,45.94791,56.54062,52.60403,70.46069,72.73724,58.60422,42.43275,53.95586,44.76269,52.87329,71.72821,25.03653,18.71655,29.32190,35.98717,46.50586,42.63871,30.28067,68.50333,55.55288,22.09128,53.98664,64.25157,52.59105,51.95904,46.28100,58.47129,31.42141,39.15090,77.73559,78.84528,58.19431,12.80022
ENSG00000096401	11.02340,8.22062,9.05631,10.51940,10.54640,15.92370,11.35480,5.82228,6.78904,5.36858,13.76780,11.57640,6.75834,8.20210,6.25484,6.01115,5.53249,4.32274,7.59425,5.55500,9.96209,12.94370,11.64590,10.36286,11.63860,9.19743,6.69789,9.74024,7.47262,9.81894,11.36800,5.13435,4.34877,3.90504,4.03760,8.18755,8.39846,8.79788,12.05540,11.71080,3.33668,7.49169,8.66941,7.78727,8.60680,7.36442,7.03724,5.11789,13.70465,9.17420,12.03785,10.05010,2.13004
ENSG00000071626	91.66714,88.17910,54.28724,80.35442,82.04263,80.32873,99.49478,32.18587,32.67707,35.89796,115.89386,126.84883,45.40479,39.28566,36.12873,36.98094,36.87358,31.02247,42.55158,36.57923,99.87081,90.69609,142.68739,109.85624,112.85821,94.85797,89.25045,85.09502,103.34805,89.31241,106.94923,52.63250,39.93309,66.67500,50.70118,113.98341,78.24042,59.56883,113.97206,113.25004,42.68555,92.56867,111.29113,103.55472,104.49833,86.97791,126.06061,58.43673,215.49281,119.35752,108.29503,105.36225,18.74883
ENSG00000135097	0.18606,0.54416,3.51145,0.22754,0.26925,0.12599,0.31600,5.46563,5.61941,5.93169,4.30457,5.65854,5.84731,5.33889,4.86994,5.25618,5.44986,4.22919,2.99291,3.91570,1.00077,0.11350,0.08284,3.03202,3.68553,0.88602,1.64157,0.47007,0.40967,0.38810,4.50030,1.52978,1.31728,0.64624,0.14584,0.66709,0.69785,0.07316,1.44040,1.87382,2.09286,17.40422,5.65711,0.55253,0.58781,2.18710,0.09265,2.90877,34.88655,0.87264,4.79639,1.45059,0.03780
ENSG00000153944	5.87012,7.43273,54.39135,13.74746,9.71440,9.38122,18.65872,30.16169,30.51127,34.57752,45.26913,47.42321,27.40138,29.11332,22.88046,30.42871,36.88130,29.57385,27.39225,33.09240,11.65998,6.95194,33.73228,9.57366,11.76129,11.28139,9.88150,14.69067,8.61017,13.79175,14.75671,14.10330,11.79956,18.75178,4.66565,10.06503,15.75204,21.49030,7.73049,56.99302,4.71913,59.59409,21.56529,8.87426,8.54026,11.58060,13.85050,8.39550,21.94306,25.96277,13.37126,10.15282,3.18021
ENSG00000120948	100.86188,85.63947,72.04072,123.72678,117.48691,129.64511,127.74478,62.83872,60.57616,68.25010,215.59517,194.72258,66.84740,79.33510,65.20768,72.51146,75.86514,59.21174,87.20742,70.35583,107.77405,96.09549,113.59574,131.15768,144.06489,123.86582,93.08935,115.23583,93.73281,114.31523,145.48165,50.40770,40.66322,62.48623,54.50097,118.33404,98.17126,69.59018,170.18666,139.48275,37.82034,143.68114,129.51721,105.56319,111.73120,107.55916,107.72866,64.88026,121.99828,152.47185,167.47013,125.37968,13.49729
ENSG00000043514	17.40563,14.05996,13.23850,15.32330,17.81409,17.62659,29.63069,9.50373,10.08662,11.23150,42.88504,39.65800,13.16266,12.14739,11.08177,12.77614,13.18573,9.36247,11.26747,9.25200,21.31435,19.57689,28.03972,30.03341,30.00795,23.62524,16.83939,22.17732,22.81021,23.06886,24.16759,12.66515,9.67219,12.87802,9.34405,19.63640,22.32320,10.54889,31.42854,28.98506,13.93935,33.35262,37.11321,30.89550,36.68652,18.51594,19.72833,13.45329,29.01772,37.16642,36.83499,33.09019,2.02705
ENSG00000171421	40.93465,41.27258,52.36315,39.74461,42.68935,38.33846,45.22182,24.64027,29.86189,27.73795,32.37714,30.69182,30.98235,34.59977,27.87338,30.69088,29.98051,24.80247,28.72342,28.72644,39.40097,90.60311,79.80230,33.25891,35.84960,49.04582,35.87304,45.79994,41.60286,50.64807,44.01377,29.32032,33.85444,36.99930,32.79072,32.53859,31.83516,61.09857,38.51241,37.00232,18.18891,34.75139,48.60758,35.50427,34.68797,29.27381,34.23033,28.09711,147.40083,33.70795,42.87608,37.16148,4.66530
ENSG00000108424	58.04022,52.47033,53.07304,49.23876,48.90372,60.61035,65.77049,22.31012,26.32568,23.91555,45.60257,37.98186,26.33882,31.34127,22.27501,27.39151,26.67801,20.61750,34.11511,27.18101,52.18474,146.06446,159.42041,59.59713,55.20437,49.86020,41.64539,49.31886,61.06436,52.27708,57.89954,29.07539,25.30469,25.13545,20.30728,60.37741,44.68990,48.72913,62.04804,58.31323,20.90323,43.57093,44.69441,44.04376,48.93941,44.49203,54.81731,35.44108,101.73863,47.89719,55.68995,55.07937,30.90992
ENSG00000124201	17.11394,13.99518,8.58577,20.05600,18.19927,18.19469,14.09660,5.28085,5.73192,6.17863,9.95726,10.08904,7.33937,7.16826,5.34693,6.06475,6.05916,5.40721,6.53335,5.90292,13.91050,18.73317,22.60642,13.08730,13.34253,12.01756,9.47674,13.55459,7.43410,14.01664,15.18752,5.97933,5.25559,7.13931,3.98788,20.68961,9.11948,7.67015,17.50225,10.74807,3.11467,10.11259,12.03065,10.49042,12.60944,12.82237,16.17201,6.95531,15.55439,18.06385,14.62426,10.99213,8.50924
ENSG00000124380	43.16021,40.39961,29.25802,47.71727,42.76392,48.63236,34.76850,45.21367,46.56850,33.87356,48.56772,39.01853,31.25036,46.19475,34.49277,40.11922,44.08501,29.32874,45.95664,37.74535,42.43726,50.03543,46.36925,43.12901,49.75894,33.56041,22.89822,34.46933,24.74779,33.80397,35.99584,25.51307,19.13443,19.52299,12.24761,37.83207,28.01412,51.54510,49.97607,36.14846,9.50350,41.89795,36.46180,27.81107,28.96410,25.30996,27.63571,18.17343,34.55722,35.38440,43.96431,38.94039,6.83266
ENSG00000076067	23.97113,22.21465,7.52605,18.66471,15.64118,15.69081,13.62686,4.50921,4.43127,4.77826,6.36372,7.37978,4.63215,4.24498,4.69530,4.75276,4.48645,4.10985,7.05626,5.80771,21.98883,21.35621,3.45987,20.61658,22.28124,13.50249,9.05498,14.41198,7.69892,15.63372,17.87264,8.75388,6.07953,8.82176,1.69061,44.29817,10.89153,3.69585,25.78343,16.87038,3.47814,7.84927,13.60340,9.14733,10.17569,8.80535,9.74795,6.18886,10.93286,25.51571,22.68654,18.32194,1.13334
ENSG00000153250	52.71767,56.27211,16.15892,47.41732,48.32374,46.27954,42.00234,4.01338,4.88010,7.73410,3.55663,4.05399,4.56159,5.93330,4.27272,6.64844,6.44768,6.21141,8.12750,6.65360,43.68715,88.45600,2.18360,49.82700,48.68869,42.75540,14.86925,41.10871,23.85070,42.19537,47.98995,24.96728,15.52215,18.62208,5.80985,60.33509,23.45101,8.18749,44.41788,51.74291,4.29038,18.31421,26.84362,27.64483,33.19375,19.92488,33.09647,12.10933,12.41798,33.91307,60.94571,41.06334,13.02403
